"id","source_id","corpus","language","date","target_child_fk","duration"
1,"HIZ-1999-05-20","Indonesian","Indonesian","1999-05-20",1,466
2,"HIZ-1999-06-05","Indonesian","Indonesian","1999-06-05",1,1916
3,"HIZ-1999-06-24","Indonesian","Indonesian","1999-06-24",1,2278
4,"HIZ-1999-07-03","Indonesian","Indonesian","1999-07-03",1,1611
5,"HIZ-1999-07-24","Indonesian","Indonesian","1999-07-24",1,1158
6,"HIZ-1999-08-08","Indonesian","Indonesian","1999-08-08",1,1883
7,"HIZ-1999-08-14","Indonesian","Indonesian","1999-08-14",1,1423
8,"HIZ-1999-09-03","Indonesian","Indonesian","1999-09-03",1,3435
9,"HIZ-1999-09-10","Indonesian","Indonesian","1999-09-10",1,709
10,"HIZ-1999-09-18","Indonesian","Indonesian","1999-09-18",1,1357
11,"HIZ-1999-10-04","Indonesian","Indonesian","1999-10-04",1,1919
12,"HIZ-1999-10-20","Indonesian","Indonesian","1999-10-20",1,2813
13,"HIZ-1999-10-29","Indonesian","Indonesian","1999-10-29",1,2324
14,"HIZ-1999-11-12","Indonesian","Indonesian","1999-11-12",1,1356
15,"HIZ-1999-11-27","Indonesian","Indonesian","1999-11-27",1,1474
16,"HIZ-1999-12-17","Indonesian","Indonesian","1999-12-17",1,687
17,"HIZ-2000-01-21","Indonesian","Indonesian","2000-01-21",1,1278
18,"HIZ-2000-02-12","Indonesian","Indonesian","2000-02-12",1,2255
19,"HIZ-2000-03-03","Indonesian","Indonesian","2000-03-03",1,1560
20,"HIZ-2000-03-10","Indonesian","Indonesian","2000-03-10",1,1391
21,"HIZ-2000-03-24","Indonesian","Indonesian","2000-03-24",1,792
22,"HIZ-2000-04-07","Indonesian","Indonesian","2000-04-07",1,1401
23,"HIZ-2000-04-14","Indonesian","Indonesian","2000-04-14",1,702
24,"HIZ-2000-04-28","Indonesian","Indonesian","2000-04-28",1,580
25,"HIZ-2000-05-05","Indonesian","Indonesian","2000-05-05",1,2437
26,"HIZ-2000-05-12","Indonesian","Indonesian","2000-05-12",1,1239
27,"HIZ-2000-05-19","Indonesian","Indonesian","2000-05-19",1,1800
28,"HIZ-2000-06-02","Indonesian","Indonesian","2000-06-02",1,1893
29,"HIZ-2000-06-09","Indonesian","Indonesian","2000-06-09",1,2373
30,"HIZ-2000-06-23","Indonesian","Indonesian","2000-06-23",1,1318
31,"HIZ-2000-07-14","Indonesian","Indonesian","2000-07-14",1,691
32,"HIZ-2000-07-21","Indonesian","Indonesian","2000-07-21",1,1439
33,"HIZ-2000-08-04","Indonesian","Indonesian","2000-08-04",1,1191
34,"HIZ-2000-08-11","Indonesian","Indonesian","2000-08-11",1,2061
35,"HIZ-2000-08-25","Indonesian","Indonesian","2000-08-25",1,1285
36,"HIZ-2000-09-08","Indonesian","Indonesian","2000-09-08",1,357
37,"HIZ-2000-09-22","Indonesian","Indonesian","2000-09-22",1,1810
38,"HIZ-2000-10-06","Indonesian","Indonesian","2000-10-06",1,1806
39,"HIZ-2000-10-13","Indonesian","Indonesian","2000-10-13",1,1837
40,"HIZ-2000-11-17","Indonesian","Indonesian","2000-11-17",1,1776
41,"HIZ-2000-11-24","Indonesian","Indonesian","2000-11-24",1,1038
42,"HIZ-2000-12-02","Indonesian","Indonesian","2000-12-02",1,1817
43,"HIZ-2000-12-08","Indonesian","Indonesian","2000-12-08",1,1885
44,"HIZ-2001-01-12","Indonesian","Indonesian","2001-01-12",1,1839
45,"HIZ-2001-01-19","Indonesian","Indonesian","2001-01-19",1,1880
46,"HIZ-2001-02-02","Indonesian","Indonesian","2001-02-02",1,1019
47,"HIZ-2001-02-09","Indonesian","Indonesian","2001-02-09",1,1218
48,"HIZ-2001-02-16","Indonesian","Indonesian","2001-02-16",1,1224
49,"HIZ-2001-02-23","Indonesian","Indonesian","2001-02-23",1,970
